Date,Open,High,Low,Close,Adj Close,Volume
2016-11-07,655.500000,655.500000,639.590027,655.500000,655.500000,0
2016-11-08,654.700012,654.700012,640.979980,642.190002,642.190002,0
2016-11-09,643.570007,653.299988,641.159973,642.349976,642.349976,0
2016-11-10,648.799988,661.299988,634.409973,649.419983,649.419983,0
2016-11-11,635.010010,663.000000,635.010010,634.919983,634.919983,0
2016-11-14,654.650024,669.700012,654.650024,651.609985,651.609985,0
2016-11-15,670.299988,670.599976,653.880005,670.299988,670.299988,0
2016-11-16,671.400024,677.150024,667.900024,671.400024,671.400024,0
2016-11-17,674.559998,675.400024,672.700012,674.570007,674.570007,0
2016-11-18,680.500000,680.500000,676.200012,667.190002,667.190002,0
2016-11-21,680.400024,680.400024,662.500000,680.400024,680.400024,0
2016-11-22,675.500000,675.500000,658.929993,662.750000,662.750000,0
2016-11-23,676.900024,678.599976,659.049988,676.900024,676.900024,0
2016-11-24,676.799988,683.700012,663.159973,676.799988,676.799988,0
2016-11-25,677.099976,678.299988,663.440002,664.219971,664.219971,0
2016-11-28,676.000000,678.200012,659.700012,676.000000,676.000000,0
2016-11-29,662.750000,675.500000,662.750000,662.559998,662.559998,0
2016-11-30,672.400024,672.599976,659.820007,659.599976,659.599976,0
2016-12-01,675.500000,675.900024,662.859985,675.500000,675.500000,0
2016-12-02,660.619995,673.700012,660.619995,660.729980,660.729980,0
2016-12-05,673.000000,673.900024,661.250000,669.299988,669.299988,0
2016-12-06,664.750000,665.099976,660.150024,664.690002,664.690002,0
2016-12-07,651.849976,657.700012,642.960022,651.489990,651.489990,0
2016-12-08,641.320007,655.799988,641.320007,641.260010,641.260010,0
2016-12-09,654.299988,655.000000,642.280029,652.260010,652.260010,0
2016-12-12,655.500000,657.000000,642.590027,655.500000,655.500000,0
2016-12-13,648.700012,651.400024,647.619995,648.700012,648.700012,0
2016-12-14,650.500000,656.400024,648.099976,650.500000,650.500000,0
2016-12-15,658.299988,665.299988,649.320007,658.299988,658.299988,0
2016-12-16,662.000000,672.799988,662.000000,649.599976,649.599976,0
2016-12-19,665.099976,678.119995,651.099976,673.200012,673.200012,0
2016-12-20,664.289978,678.280029,664.289978,664.500000,664.500000,0
2016-12-21,663.690002,676.950012,663.690002,663.770020,663.770020,0
2016-12-22,671.099976,676.400024,671.099976,5.000000,5.000000,0
2016-12-23,676.799988,676.799988,671.599976,663.750000,663.750000,0
2016-12-26,673.799988,673.799988,660.820007,673.799988,673.799988,0
2016-12-27,674.200012,675.219971,670.890015,660.570007,660.570007,0
2016-12-28,657.280029,673.859985,657.280029,657.679993,657.679993,0
2016-12-29,672.500000,672.500000,664.299988,660.400024,660.400024,0
2016-12-30,650.820007,670.960022,650.820007,654.650024,654.650024,0
2017-01-02,668.599976,669.289978,655.760010,668.599976,668.599976,0
2017-01-03,657.140015,673.650024,657.140015,656.979980,656.979980,0
2017-01-04,669.400024,674.599976,655.599976,656.409973,656.409973,0
2017-01-05,652.950012,671.080017,652.950012,656.150024,656.150024,0
2017-01-06,663.500000,668.700012,660.000000,649.650024,649.650024,0
2017-01-09,666.799988,671.190002,651.020020,666.799988,666.799988,0
2017-01-10,665.400024,671.940002,665.400024,653.070007,653.070007,0
2017-01-11,671.299988,673.320007,658.539978,658.570007,658.570007,0
2017-01-12,654.159973,670.299988,654.159973,654.159973,654.159973,0
